x,l,P_forward,P_backward
0.10,42,5.39167614508521895e-02,-2.03453576233901146e-01
0.10,43,1.13720998482021232e-01,2.32796032269010883e-01
0.10,44,-3.02056376271149889e-02,2.44859755881775998e-01
0.10,45,-1.17167869068672381e-01,-1.79194968721970521e-01
0.10,46,6.37013227598381970e-03,-2.74986157174996804e-01
0.10,47,1.15935408666501677e-01,1.20970155308152597e-01
0.10,48,1.67081284450109682e-02,2.93199288805256308e-01
0.10,49,-1.10261852450519879e-01,-6.04598847628640482e-02
0.10,50,-3.82058126613136831e-02,-2.99306360212198252e-01
0.50,0,1.00000000000000000e+00,9.99999999999999889e-01
0.50,1,5.00000000000000000e-01,-7.43316775415309205e+00
0.50,2,-1.25000000000000000e-01,-6.07487581561481882e+00
0.50,3,-4.37500000000000000e-01,-1.06951343576954017e-01
0.50,4,-2.89062500000000000e-01,4.46257443608127957e+00
0.50,5,8.98437500000000000e-02,4.10187806733471483e+00
0.50,6,3.23242187500000000e-01,4.12428649890890162e-02
0.50,7,2.23144531250000000e-01,-3.47759854022560155e+00
0.50,8,-7.36389160156250000e-02,-3.29633613832695449e+00
0.50,9,-2.67898559570312500e-01,-2.20076504415892098e-02
0.50,10,-1.88228607177734375e-01,2.94579525657474894e+00
0.50,11,6.38713836669921875e-02,2.83190242713188711e+00
0.50,12,2.33752965927124023e-01,1.35941741412049354e-02
0.50,13,1.65804266929626465e-01,-2.60099245760135256e+00
0.50,14,-5.71736395359039307e-02,-2.52072303153242316e+00
0.50,15,-2.10018500685691833e-01,-9.10597005341378003e-03
0.50,16,-1.49855135474354029e-01,2.35435643357240210e+00
0.50,17,5.22168397437781096e-02,2.29368098087054451e+00
0.50,18,1.92296222143340856e-01,6.40876636131611482e-03
0.50,19,1.37767210224410519e-01,-2.16672081463081323e+00
0.50,20,-4.83583810673735570e-02,-2.11864112230829349e+00
0.50,21,-1.78413857922350871e-01,-4.65365308113061156e-03
