x,l,P_ref
0.50,23,0.045244937784218564047478139400482178
0.50,24,0.1671594460634509005103609524667263
0.50,25,0.12038111686933206101457471959292889
0.50,26,-0.042664141208396344495668017771095037
0.50,27,-0.15779662150463469316719056223519146
0.50,28,-0.11383840281252688431123942791600712
0.50,29,0.040479686964577765717621105068246834
0.50,30,0.14984881490061079112319220030258293
0.50,31,0.10825800792036439218479770829617337
0.50,32,-0.038599562888358005343682199939081556
0.50,33,-0.14299218325222108253282418677265753
0.50,34,-0.10342507540098800260317934290865693
0.50,35,0.036959117978326591894466714854905476
0.50,36,0.13699795353514372509346792719867048
0.50,37,0.099186406940891585343534529945266898
0.50,38,-0.035511421592549562580941274563244708
0.50,39,-0.13169931269402662570309105663089906
0.50,40,-0.095429435232615469365384675723849232
0.50,41,0.034221472703418012654282021912684599
0.50,42,0.1269713800411686135507970384298626
0.50,43,0.092069344144328128940209981696195524
0.50,44,-0.033062565261181290313298601106808788
0.50,45,-0.12271856214384455760691170986412431
0.50,46,-0.089040850886777593630783603239375235
0.50,47,0.032013921114504075448648959640824894
0.50,48,0.11886627592953105175953447781645455
0.50,49,0.086292778960940007934740247170172467
0.50,50,-0.031059099239609822868950943561654719
0.90,0,1.0
0.90,1,0.90000000000000002220446049250313081
0.90,2,0.71500000000000005995204332975845392
0.90,3,0.47250000000000010158540675320182678
0.90,4,0.20793750000000013339329640871256697
0.90,5,-0.041141249999999856860333213859332032
0.90,6,-0.24116431249999987665541545389655429
0.90,7,-0.36782499374999992647433805226239052
0.90,8,-0.40968590351562499916574858205283221
0.90,9,-0.36951048597656258112086385438085225
0.90,10,-0.26314561785585953005658734326491872
0.90,11,-0.11621339251910176632399983895176252
0.90,12,0.040748714272420684030431950261589856
0.90,13,0.17780052164297589301483056560488542
0.90,14,0.27077281359877467246141522619510795
0.90,15,0.3051975421284237748929248335442144
0.90,16,0.27833870133758771516690776422162348
0.90,17,0.19902933856891617330130978084605374
0.90,18,0.085425902343437136435038560192866731
0.90,19,-0.038833976116001810839676698779954009
0.90,20,-0.14930823530984845931837984098945884
0.90,21,-0.22537116002920819371344492641764212
0.90,22,-0.25392686143743362119122171860748818
0.90,23,-0.23155966815536876740315628466050724
0.90,24,-0.16477733957963024230888808184080086
0.90,25,-0.068369945589313737897080719534203194
0.90,26,0.037740499497740592723930441463935016
0.90,27,0.13251260782831050009888794663553671
0.90,28,0.19787073575222763975640123319493962
0.90,29,0.22208330085850290231622269073030007
0.90,30,0.20181239795906342836663140108690766
0.90,31,0.14248392329669340068356915025490883
0.90,32,0.056957941068485929334714126944703819
0.90,33,-0.037195333120841268896564045138584231
0.90,34,-0.12124972477784600699540683916985692
0.90,35,-0.17899904521701811650569237437539611
0.90,36,-0.19984162839285688005748573665428051
0.90,37,-0.18069268534048770674325140584756201
0.90,38,-0.1263846318407162090514807133694467
0.90,39,-0.048516229323669247361778397075230654
0.90,40,0.036987418421876214512011117640282553
0.90,41,0.11309834087564746338831428574421194
